  x-r-uv           y-r-uv    x-s-uv           y-s-uv    x-r-ecd       y-r-ecd    x-s-ecd        y-s-ecd
   242      455.229           242      879.96             242     0.614315         242     -0.849279
   242.2    448.223           242.2    863.704            242.2   0.684242         242.2   -0.818823
   242.4    442.253           242.4    849.211            242.4   0.75352          242.4   -0.790052
   242.6    437.293           242.6    836.399            242.6   0.822137         242.6   -0.762974
   242.8    433.314           242.8    825.178            242.8   0.890081         242.8   -0.737582
   243      430.285           243      815.456            243     0.957342         243     -0.71385
   243.2    428.175           243.2    807.139            243.2   1.0239           243.2   -0.691735
   243.4    426.947           243.4    800.126            243.4   1.08975          243.4   -0.671185
   243.6    426.565           243.6    794.319            243.6   1.15487          243.6   -0.652133
   243.8    426.99            243.8    789.612            243.8   1.21924          243.8   -0.634504
   244      428.183           244      785.902            244     1.28283          244     -0.618216
   244.2    430.101           244.2    783.084            244.2   1.34562          244.2   -0.603181
   244.4    432.7             244.4    781.053            244.4   1.40758          244.4   -0.589304
   244.6    435.935           244.6    779.704            244.6   1.46868          244.6   -0.57649
   244.8    439.761           244.8    778.932            244.8   1.52887          244.8   -0.564642
   245      444.13            245      778.635            245     1.58811          245     -0.55366
   245.2    448.993           245.2    778.712            245.2   1.64636          245.2   -0.543448
   245.4    454.301           245.4    779.064            245.4   1.70356          245.4   -0.53391
   245.6    460.005           245.6    779.598            245.6   1.75966          245.6   -0.524952
   245.8    466.053           245.8    780.219            245.8   1.81459          245.8   -0.516485
   246      472.395           246      780.84             246     1.8683           246     -0.508424
   246.2    478.98            246.2    781.377            246.2   1.92071          246.2   -0.500687
   246.4    485.757           246.4    781.75             246.4   1.97174          246.4   -0.493198
   246.6    492.675           246.6    781.884            246.6   2.02133          246.6   -0.485887
   246.8    499.683           246.8    781.709            246.8   2.0694           246.8   -0.47869
   247      506.732           247      781.16             247     2.11586          247     -0.471547
   247.2    513.771           247.2    780.18             247.2   2.16062          247.2   -0.464406
   247.4    520.753           247.4    778.713            247.4   2.20361          247.4   -0.45722
   247.6    527.63            247.6    776.713            247.6   2.24474          247.6   -0.449949
   247.8    534.355           247.8    774.138            247.8   2.28392          247.8   -0.442558
   248      540.884           248      770.951            248     2.32106          248     -0.435018
   248.2    547.173           248.2    767.124            248.2   2.35608          248.2   -0.427307
   248.4    553.18            248.4    762.632            248.4   2.3889           248.4   -0.419407
   248.6    558.867           248.6    757.456            248.6   2.41943          248.6   -0.411305
   248.8    564.195           248.8    751.584            248.8   2.4476           248.8   -0.402994
   249      569.128           249      745.008            249     2.47333          249     -0.394469
